accuracy,loss,val_accuracy,val_loss
0.14553990960121155,2.9823899269104004,0.09375,4.0784149169921875
0.2269170582294464,2.6809029579162598,0.09375,3.2679171562194824
0.23161189258098602,2.569247007369995,0.125,2.6907224655151367
0.27230048179626465,2.484008550643921,0.23125000298023224,2.458296060562134
0.30516430735588074,2.4025206565856934,0.33125001192092896,2.2874927520751953
0.3114241063594818,2.340550422668457,0.3812499940395355,2.198045015335083
0.2910798192024231,2.399914264678955,0.15625,2.854114055633545
0.30359938740730286,2.284066677093506,0.22499999403953552,2.492849111557007
0.32550859451293945,2.2973792552948,0.20000000298023224,2.867988109588623
0.31611892580986023,2.2514355182647705,0.125,3.938840389251709
0.31611892580986023,2.259906530380249,0.3125,2.293053388595581
0.33646321296691895,2.253504991531372,0.375,2.086965322494507
0.3755868673324585,2.1743385791778564,0.33125001192092896,2.4950664043426514
0.3333333432674408,2.158085346221924,0.30000001192092896,2.2955241203308105
0.33489829301834106,2.2007131576538086,0.38749998807907104,2.228877544403076
0.3395931124687195,2.1560773849487305,0.42500001192092896,2.0579993724823
0.3552425801753998,2.147432565689087,0.3187499940395355,2.3575878143310547
0.36306729912757874,2.130089044570923,0.3187499940395355,2.251147985458374
0.32863849401474,2.168515205383301,0.2562499940395355,2.6509006023406982
0.3536776304244995,2.089449167251587,0.19374999403953552,3.018010377883911
0.3740219175815582,2.07675838470459,0.15625,3.7136473655700684
0.38810640573501587,2.0700645446777344,0.4124999940395355,2.1067891120910645
0.40375587344169617,2.0672197341918945,0.41874998807907104,1.9782871007919312
0.386541485786438,2.029733657836914,0.4312500059604645,2.089383363723755
0.40062597393989563,2.0336050987243652,0.4000000059604645,2.051948070526123
0.3974960744380951,2.021868944168091,0.32499998807907104,2.17399263381958
0.4194053113460541,2.0072383880615234,0.40625,1.993112564086914
0.4194053113460541,1.9829539060592651,0.4312500059604645,1.9909484386444092
0.386541485786438,2.011617660522461,0.45625001192092896,1.8760331869125366
0.3928012549877167,1.9937554597854614,0.4000000059604645,1.9317824840545654
0.40375587344169617,1.993693232536316,0.4312500059604645,1.9325116872787476
0.4225352108478546,1.9690841436386108,0.4625000059604645,2.032714366912842
0.40375587344169617,1.985533595085144,0.48124998807907104,1.866318702697754
0.42097026109695435,1.9867942333221436,0.4749999940395355,1.8801552057266235
0.4178403615951538,1.9493141174316406,0.48124998807907104,1.777740240097046
0.40375587344169617,1.970325231552124,0.4124999940395355,1.823788046836853
0.41001564264297485,1.982057809829712,0.5,1.809720754623413
0.43661972880363464,1.9360392093658447,0.4749999940395355,1.7447254657745361
0.43192487955093384,1.9353934526443481,0.46875,1.751407265663147
0.4287949800491333,1.9330703020095825,0.5,1.7058556079864502
0.4178403615951538,1.9320998191833496,0.512499988079071,1.701188325881958
0.4350547790527344,1.9778450727462769,0.512499988079071,1.7189832925796509
0.45696401596069336,1.8535816669464111,0.5062500238418579,1.7760841846466064
0.4178403615951538,1.893626093864441,0.4749999940395355,1.8174937963485718
0.4350547790527344,1.916212558746338,0.4124999940395355,1.987884521484375
0.4397495985031128,1.9026442766189575,0.5,1.7706273794174194
0.4241001605987549,1.908631443977356,0.550000011920929,1.7089271545410156
0.4507042169570923,1.9162715673446655,0.5249999761581421,1.7085233926773071
0.471048504114151,1.8834348917007446,0.512499988079071,1.7090950012207031
0.45696401596069336,1.8526767492294312,0.512499988079071,1.6993420124053955
Test Accuracy: 43.50%
Test Loss: 1.8513894081115723
